Fecha,flujo_id,Exportaciones
01/01/2019,1,77900250
01/02/2019,1,73514614
01/03/2019,1,60435079
01/04/2019,1,67930360
01/05/2019,1,61948302
01/06/2019,1,55485813
01/07/2019,1,70066564
01/08/2019,1,68244988
01/09/2019,1,63851064
01/10/2019,1,73091230
01/11/2019,1,62435288
01/12/2019,1,70276670
01/01/2020,1,88936537
01/02/2020,1,82938117
01/03/2020,1,57698002
01/04/2020,1,26754766
01/05/2020,1,12586612
01/06/2020,1,28579816
01/07/2020,1,36258850
01/08/2020,1,36681085
01/09/2020,1,42532660
01/10/2020,1,59953679
01/11/2020,1,81976618
01/12/2020,1,112645228
01/01/2021,1,77573970
01/02/2021,1,63839355
01/03/2021,1,68405609
01/04/2021,1,60802116
01/05/2021,1,63783544
01/06/2021,1,74473445
01/07/2021,1,87565244
01/08/2021,1,102190197
01/09/2021,1,79658569
01/10/2021,1,80727978
01/11/2021,1,85763533
01/12/2021,1,79325124
01/01/2022,1,72089946
01/02/2022,1,88981100
01/03/2022,1,71081243
01/04/2022,1,59865981
01/05/2022,1,72284683
01/06/2022,1,62329020
01/07/2022,1,57158976
01/08/2022,1,74032296
01/09/2022,1,71772127
01/10/2022,1,70059074
01/11/2022,1,77789949
01/12/2022,1,76263780
01/01/2023,1,83911132
01/02/2023,1,88828106
01/03/2023,1,91161803
01/04/2023,1,76618333
01/05/2023,1,85516539
01/06/2023,1,83458080
01/07/2023,1,99575542
01/08/2023,1,116963380
01/09/2023,1,91820678
01/10/2023,1,94741127
01/11/2023,1,100137445
01/12/2023,1,101009325
01/01/2024,1,125163155
01/02/2024,1,135160945
01/03/2024,1,107607741
01/04/2024,1,118650129
01/05/2024,1,103905374
01/06/2024,1,91996223
01/07/2024,1,113840961
01/08/2024,1,108085292
01/09/2024,1,99990036
01/10/2024,1,110209292
01/11/2024,1,102701041
01/12/2024,1,108721421
01/01/2025,1,105775505
01/02/2025,1,112163482
01/03/2025,1,116230118
01/04/2025,1,118040633
01/05/2025,1,113027086
01/06/2025,1,116381955
01/07/2025,1,140275979
01/08/2025,1,121464388
01/09/2025,1,136866894
01/10/2025,1,126776381
01/11/2025,1,109798883
